mode,channel,snr_db,seeds,copies,accumulated,control,single,mean_copy_to_decode
4FSK.200.50S.E,watterson-moderate,-6.0,12,6,12,10,3,2.17
4FSK.200.50S.E,watterson-moderate,-5.0,12,6,12,12,6,1.67
4FSK.200.50S.E,watterson-moderate,-4.0,12,6,12,12,5,1.75
4FSK.200.50S.E,watterson-moderate,-3.0,12,6,12,12,7,1.75
4FSK.200.50S.E,watterson-moderate,-2.0,12,6,12,12,7,1.5
4FSK.200.50S.E,watterson-poor,-18.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-17.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-16.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-15.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-14.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-13.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-12.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-11.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-10.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-poor,-9.0,12,6,4,1,0,3.5
4FSK.200.50S.E,watterson-poor,-8.0,12,6,10,7,1,3.9
4FSK.200.50S.E,watterson-poor,-7.0,12,6,11,5,0,3.0
4FSK.200.50S.E,watterson-poor,-6.0,12,6,12,6,3,3.17
4FSK.200.50S.E,watterson-poor,-5.0,12,6,11,5,0,2.73
4FSK.200.50S.E,watterson-poor,-4.0,12,6,12,10,2,2.33
4FSK.200.50S.E,watterson-poor,-3.0,12,6,12,12,3,2.08
4FSK.200.50S.E,watterson-poor,-2.0,12,6,12,11,7,1.83
4FSK.200.50S.E,impulsive,-18.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-17.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-16.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-15.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-14.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-13.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-12.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-11.0,12,6,0,0,0,
4FSK.200.50S.E,impulsive,-10.0,12,6,4,2,0,4.5
4FSK.200.50S.E,impulsive,-9.0,12,6,8,6,1,3.5
4FSK.200.50S.E,impulsive,-8.0,12,6,12,12,6,2.08
4FSK.200.50S.E,impulsive,-7.0,12,6,12,12,9,1.33
4FSK.200.50S.E,impulsive,-6.0,12,6,12,12,10,1.17
4FSK.200.50S.E,impulsive,-5.0,12,6,12,12,11,1.08
4FSK.200.50S.E,impulsive,-4.0,12,6,12,12,12,1.0
4FSK.200.50S.E,impulsive,-3.0,12,6,12,12,12,1.0
4FSK.200.50S.E,impulsive,-2.0,12,6,12,12,12,1.0
